,1
1/1/2022 0:00,-19.155
1/1/2022 1:00,-19.155
1/1/2022 2:00,-19.155
1/1/2022 3:00,-19.155
1/1/2022 4:00,-19.155
1/1/2022 5:00,38.954
1/1/2022 6:00,1096.9
1/1/2022 7:00,1849.2
1/1/2022 8:00,2219.1
1/1/2022 9:00,2327.6
1/1/2022 10:00,2425.5
1/1/2022 11:00,2848.7
1/1/2022 12:00,2993.9
1/1/2022 13:00,2978.7
1/1/2022 14:00,2953.1
1/1/2022 15:00,2832.2
1/1/2022 16:00,2850.2
1/1/2022 17:00,2657.4
1/1/2022 18:00,1157.8
1/1/2022 19:00,-19.146
1/1/2022 20:00,-19.146
1/1/2022 21:00,-19.146
1/1/2022 22:00,-19.146
1/1/2022 23:00,-19.146
2/1/2022 0:00,-19.146
2/1/2022 1:00,-19.146
2/1/2022 2:00,-19.146
2/1/2022 3:00,-19.146
2/1/2022 4:00,-19.146
2/1/2022 5:00,45.191
2/1/2022 6:00,2055.1
2/1/2022 7:00,3029.9
2/1/2022 8:00,3183.2
2/1/2022 9:00,3471.5
2/1/2022 10:00,3271.3
2/1/2022 11:00,2062.8
2/1/2022 12:00,2494.1
2/1/2022 13:00,2123.2
2/1/2022 14:00,2332.7
2/1/2022 15:00,2049.7
2/1/2022 16:00,1375.6
2/1/2022 17:00,973
2/1/2022 18:00,473.45
2/1/2022 19:00,-19.146
2/1/2022 20:00,-19.146
2/1/2022 21:00,-19.146
2/1/2022 22:00,-19.146
2/1/2022 23:00,-19.146
3/1/2022 0:00,-19.146
3/1/2022 1:00,-19.146
3/1/2022 2:00,-19.146
3/1/2022 3:00,-19.146
3/1/2022 4:00,-19.146
3/1/2022 5:00,32.449
3/1/2022 6:00,2255.9
3/1/2022 7:00,3373.3
3/1/2022 8:00,3558.7
3/1/2022 9:00,3598.8
3/1/2022 10:00,3639.9
3/1/2022 11:00,1944.1
3/1/2022 12:00,1965.4
3/1/2022 13:00,1751.3
3/1/2022 14:00,1624.1
3/1/2022 15:00,1304
3/1/2022 16:00,1100.4
3/1/2022 17:00,732.1
3/1/2022 18:00,291.64
3/1/2022 19:00,-19.146
3/1/2022 20:00,-19.146
3/1/2022 21:00,-19.146
3/1/2022 22:00,-19.146
3/1/2022 23:00,-19.146
4/1/2022 0:00,-19.146
4/1/2022 1:00,-19.146
4/1/2022 2:00,-19.146
4/1/2022 3:00,-19.146
4/1/2022 4:00,-19.146
4/1/2022 5:00,38.825
4/1/2022 6:00,1800.5
4/1/2022 7:00,2840.3
4/1/2022 8:00,3129
4/1/2022 9:00,3218.7
4/1/2022 10:00,3259
4/1/2022 11:00,3158
4/1/2022 12:00,3094.1
4/1/2022 13:00,3022.1
4/1/2022 14:00,3040.2
4/1/2022 15:00,2851.7
4/1/2022 16:00,2648.9
4/1/2022 17:00,2279.9
4/1/2022 18:00,869.79
4/1/2022 19:00,-19.146
4/1/2022 20:00,-19.146
4/1/2022 21:00,-19.146
4/1/2022 22:00,-19.146
4/1/2022 23:00,-19.146
5/1/2022 0:00,-19.146
5/1/2022 1:00,-19.146
5/1/2022 2:00,-19.146
5/1/2022 3:00,-19.146
5/1/2022 4:00,-19.146
5/1/2022 5:00,32.526
5/1/2022 6:00,1905
5/1/2022 7:00,3093.6
5/1/2022 8:00,3356.4
5/1/2022 9:00,3492.7
5/1/2022 10:00,3513.4
5/1/2022 11:00,3495.1
5/1/2022 12:00,3464.5
5/1/2022 13:00,3454
5/1/2022 14:00,3429.9
5/1/2022 15:00,3353.2
5/1/2022 16:00,3203.3
5/1/2022 17:00,2839.4
5/1/2022 18:00,1127.8
5/1/2022 19:00,-19.146
5/1/2022 20:00,-19.146
5/1/2022 21:00,-19.146
5/1/2022 22:00,-19.146
5/1/2022 23:00,-19.146
6/1/2022 0:00,-19.146
6/1/2022 1:00,-19.146
6/1/2022 2:00,-19.146
6/1/2022 3:00,-19.146
6/1/2022 4:00,-19.146
6/1/2022 5:00,30.495
6/1/2022 6:00,1495.7
6/1/2022 7:00,2481.8
6/1/2022 8:00,2947.8
6/1/2022 9:00,3070.3
6/1/2022 10:00,3129.6
6/1/2022 11:00,3162.2
6/1/2022 12:00,3162.3
6/1/2022 13:00,3228.9
6/1/2022 14:00,3126.1
6/1/2022 15:00,3112.4
6/1/2022 16:00,2906.1
6/1/2022 17:00,2620.1
6/1/2022 18:00,1083.9
6/1/2022 19:00,-19.146
6/1/2022 20:00,-19.146
6/1/2022 21:00,-19.146
6/1/2022 22:00,-19.146
6/1/2022 23:00,-19.146
7/1/2022 0:00,-19.146
7/1/2022 1:00,-19.146
7/1/2022 2:00,-19.146
7/1/2022 3:00,-19.146
7/1/2022 4:00,-19.146
7/1/2022 5:00,32.228
7/1/2022 6:00,1468
7/1/2022 7:00,2474
7/1/2022 8:00,2339.9
7/1/2022 9:00,2733.5
7/1/2022 10:00,2923.5
7/1/2022 11:00,2991.3
7/1/2022 12:00,3006.3
7/1/2022 13:00,2992.6
7/1/2022 14:00,2820.5
7/1/2022 15:00,2836.2
7/1/2022 16:00,2565.3
7/1/2022 17:00,2032.7
7/1/2022 18:00,847.34
7/1/2022 19:00,-19.146
7/1/2022 20:00,-19.146
7/1/2022 21:00,-19.146
7/1/2022 22:00,-19.146
7/1/2022 23:00,-19.146
8/1/2022 0:00,-19.146
8/1/2022 1:00,-19.146
8/1/2022 2:00,-19.146
8/1/2022 3:00,-19.146
8/1/2022 4:00,-19.146
8/1/2022 5:00,23.56
8/1/2022 6:00,1304.4
8/1/2022 7:00,2061.4
8/1/2022 8:00,2404.4
8/1/2022 9:00,2538.1
8/1/2022 10:00,2778.8
8/1/2022 11:00,2949
8/1/2022 12:00,2882.1
8/1/2022 13:00,3186.7
8/1/2022 14:00,3202
8/1/2022 15:00,3284.1
8/1/2022 16:00,2994.5
8/1/2022 17:00,2267.4
8/1/2022 18:00,755.13
8/1/2022 19:00,-19.146
8/1/2022 20:00,-19.146
8/1/2022 21:00,-19.146
8/1/2022 22:00,-19.146
8/1/2022 23:00,-19.146
9/1/2022 0:00,-19.146
9/1/2022 1:00,-19.146
9/1/2022 2:00,-19.146
9/1/2022 3:00,-19.146
9/1/2022 4:00,-19.146
9/1/2022 5:00,17.994
9/1/2022 6:00,1482.4
9/1/2022 7:00,2625.2
9/1/2022 8:00,2794
9/1/2022 9:00,2746.6
9/1/2022 10:00,2998.6
9/1/2022 11:00,2972.8
9/1/2022 12:00,3196.4
9/1/2022 13:00,2990.7
9/1/2022 14:00,2615
9/1/2022 15:00,2354.4
9/1/2022 16:00,1975.1
9/1/2022 17:00,1887.6
9/1/2022 18:00,776.52
9/1/2022 19:00,-19.146
9/1/2022 20:00,-19.146
9/1/2022 21:00,-19.146
9/1/2022 22:00,-19.146
9/1/2022 23:00,-19.146
10/1/2022 0:00,-19.146
10/1/2022 1:00,-19.146
10/1/2022 2:00,-19.146
10/1/2022 3:00,-19.146
10/1/2022 4:00,-19.146
10/1/2022 5:00,16.758
10/1/2022 6:00,1263.9
10/1/2022 7:00,1891.5
10/1/2022 8:00,2642.4
10/1/2022 9:00,2924.9
10/1/2022 10:00,2907.5
10/1/2022 11:00,3044.7
10/1/2022 12:00,2943.9
10/1/2022 13:00,2937
10/1/2022 14:00,2948
10/1/2022 15:00,2726.2
10/1/2022 16:00,2304.5
10/1/2022 17:00,2095.5
10/1/2022 18:00,908.48
10/1/2022 19:00,-19.146
10/1/2022 20:00,-19.146
10/1/2022 21:00,-19.146
10/1/2022 22:00,-19.146
10/1/2022 23:00,-19.146
11/1/2022 0:00,-19.146
11/1/2022 1:00,-19.146
11/1/2022 2:00,-19.146
11/1/2022 3:00,-19.146
11/1/2022 4:00,-19.146
11/1/2022 5:00,15.635
11/1/2022 6:00,1735.7
11/1/2022 7:00,3035.3
11/1/2022 8:00,3286.4
11/1/2022 9:00,3402.1
11/1/2022 10:00,3415.3
11/1/2022 11:00,3403.9
11/1/2022 12:00,3374.2
11/1/2022 13:00,3370.4
11/1/2022 14:00,3355.6
11/1/2022 15:00,3304.7
11/1/2022 16:00,3137.4
11/1/2022 17:00,2754.5
11/1/2022 18:00,1102.9
11/1/2022 19:00,-19.146
11/1/2022 20:00,-19.146
11/1/2022 21:00,-19.146
11/1/2022 22:00,-19.146
11/1/2022 23:00,-19.146
12/1/2022 0:00,-19.146
12/1/2022 1:00,-19.146
12/1/2022 2:00,-19.146
12/1/2022 3:00,-19.146
12/1/2022 4:00,-19.146
12/1/2022 5:00,13.544
12/1/2022 6:00,1707.5
12/1/2022 7:00,3045.2
12/1/2022 8:00,3303.6
12/1/2022 9:00,3392.3
12/1/2022 10:00,3439.6
12/1/2022 11:00,3416.1
12/1/2022 12:00,3397
12/1/2022 13:00,3395.9
12/1/2022 14:00,3393
12/1/2022 15:00,3323
12/1/2022 16:00,3171.5
12/1/2022 17:00,2787.4
12/1/2022 18:00,1098.4
12/1/2022 19:00,-19.146
12/1/2022 20:00,-19.146
12/1/2022 21:00,-19.146
12/1/2022 22:00,-19.146
12/1/2022 23:00,-19.146
13/1/2022 0:00,-19.146
13/1/2022 1:00,-19.146
13/1/2022 2:00,-19.146
13/1/2022 3:00,-19.146
13/1/2022 4:00,-19.146
13/1/2022 5:00,11.734
13/1/2022 6:00,1707.1
13/1/2022 7:00,3048.5
13/1/2022 8:00,3381.6
13/1/2022 9:00,3485.6
13/1/2022 10:00,3502.7
13/1/2022 11:00,3486.8
13/1/2022 12:00,3483.7
13/1/2022 13:00,3487
13/1/2022 14:00,3461
13/1/2022 15:00,3399.3
13/1/2022 16:00,3244.6
13/1/2022 17:00,2849.3
13/1/2022 18:00,1144.6
13/1/2022 19:00,-19.146
13/1/2022 20:00,-19.146
13/1/2022 21:00,-19.146
13/1/2022 22:00,-19.146
13/1/2022 23:00,-19.146
14/1/2022 0:00,-19.146
14/1/2022 1:00,-19.146
14/1/2022 2:00,-19.146
14/1/2022 3:00,-19.146
14/1/2022 4:00,-19.146
14/1/2022 5:00,7.2374
14/1/2022 6:00,1378.9
14/1/2022 7:00,2491.4
14/1/2022 8:00,2830.6
14/1/2022 9:00,3087.2
14/1/2022 10:00,3183.9
14/1/2022 11:00,3200.9
14/1/2022 12:00,3161.4
14/1/2022 13:00,3192
14/1/2022 14:00,3119.3
14/1/2022 15:00,2877.3
14/1/2022 16:00,2636
14/1/2022 17:00,2361.6
14/1/2022 18:00,970.71
14/1/2022 19:00,-19.146
14/1/2022 20:00,-19.146
14/1/2022 21:00,-19.146
14/1/2022 22:00,-19.146
14/1/2022 23:00,-19.146
15/1/2022 0:00,-19.146
15/1/2022 1:00,-19.146
15/1/2022 2:00,-19.146
15/1/2022 3:00,-19.146
15/1/2022 4:00,-19.146
15/1/2022 5:00,2.3432
15/1/2022 6:00,2052.5
15/1/2022 7:00,3637.8
15/1/2022 8:00,3810.6
15/1/2022 9:00,3810.6
15/1/2022 10:00,3810.6
15/1/2022 11:00,1878.7
15/1/2022 12:00,1812.9
15/1/2022 13:00,1991.6
15/1/2022 14:00,1634
15/1/2022 15:00,815.62
15/1/2022 16:00,420.72
15/1/2022 17:00,126.86
15/1/2022 18:00,20.327
15/1/2022 19:00,-19.146
15/1/2022 20:00,-19.146
15/1/2022 21:00,-19.146
15/1/2022 22:00,-19.146
15/1/2022 23:00,-19.146
16/1/2022 0:00,-19.146
16/1/2022 1:00,-19.146
16/1/2022 2:00,-19.146
16/1/2022 3:00,-19.146
16/1/2022 4:00,-19.146
16/1/2022 5:00,9.9665
16/1/2022 6:00,1613
16/1/2022 7:00,2669.4
16/1/2022 8:00,2526.6
16/1/2022 9:00,2611.9
16/1/2022 10:00,2901.2
16/1/2022 11:00,2882
16/1/2022 12:00,2985.3
16/1/2022 13:00,2736.9
16/1/2022 14:00,2621.4
16/1/2022 15:00,2359.8
16/1/2022 16:00,2497.3
16/1/2022 17:00,2139.6
16/1/2022 18:00,966.4
16/1/2022 19:00,-19.146
16/1/2022 20:00,-19.146
16/1/2022 21:00,-19.146
16/1/2022 22:00,-19.146
16/1/2022 23:00,-19.146
17/1/2022 0:00,-19.146
